Name, City, State, Zip, Address, Price, Date,
3539 27th Pl W,Seattle,WA,98199,3539 27th Pl W,$2025,2020-05-10,
7522 24th Ave NW,Seattle,WA,98117,7522 24th Ave NW,$2850,2020-05-10,
8741 Seward Park Ave S,Seattle,WA,98118,8741 Seward Park Ave S,$1700,2020-05-10,
1707 N 45th St,Seattle,WA,98103,1707 N 45th St,$1695,2020-05-10,
5210 Russell Ave NW,Seattle,WA,98107,5210 Russell Ave NW,$2395,2020-05-10,
Condo in Seattle - Northgate Unit #105, Seattle,WA,98133,2152 N 112th St,$1195,2020-05-10,
7743 B 15th Ave NW Retail, Seattle,WA,98117,7743 15th Ave NW,$1200,2020-05-10,
Ben Lomond - 2 bedrooms Unit 206, Seattle,WA,98102,1027 Bellevue Ct E,$1975,2020-05-10,
2212 E Spruce St,Seattle,WA,98122,2212 E Spruce St,$4400,2020-05-10,
8825 Wallingford Ave N,Seattle,WA,98103,8825 Wallingford Ave N,$4595,2020-05-10,
931 N 104th St Unit 929,Seattle,WA,98133,931 N 104th St Unit 929,$1795,2020-05-10,
3401 Wallingford Ave N,Seattle,WA,98103,3401 Wallingford Ave N,$2650,2020-05-10,
3 br 2 bath House - 12738 10th Ave NW, Seattle,WA,98177,12738 10th Ave NW,$3200,2020-05-10,
2 br 2 bath House - 583 Battery St #3207N, Seattle,WA,98121,583 Battery St,$4200,2020-05-10,
1525 Taylor Ave N,Seattle,WA,98109,1525 Taylor Ave N,$2500,2020-05-10,
315 Maynard Ave S,Seattle,WA,98104,315 Maynard Ave S,$1395,2020-05-10,
2014 E Yesler Way,Seattle,WA,98122,2014 E Yesler Way,$1595,2020-05-10,
5505 NE 65th St,Seattle,WA,98115,5505 NE 65th St,$1300,2020-05-10,
9413 14th Ave SW Seattle WA 98106, Seattle,WA,98106,9413 14th Ave SW,$2525,2020-05-10,
12743 Greenwood Ave N Unit Apt #A,Seattle,WA,98133,12743 Greenwood Ave N Unit Apt #A,$1795,2020-05-10,
900 Lenora St Unit W105,Seattle,WA,98121,900 Lenora St Unit W105,$2699,2020-05-10,
13322 Greenwood Ave N,Seattle,WA,98133,13322 Greenwood Ave N,$1500,2020-05-10,
4315 Woodland Park Ave N,Seattle,WA,98103,4315 Woodland Park Ave N,$1195,2020-05-10,
3 br 3 bath House - 1905 25th Ave S. unit C, Seattle,WA,98144,1905 25th Ave S,$3495,2020-05-10,
1 br 1 bath House - 1800 43rd Ave E #301, Seattle,WA,98112,1800 43rd Ave E,$2250,2020-05-10,
2 br 1 bath House - 416 16th Avenue South, Seattle,WA,98144,416 16th Ave S,$2695,2020-05-10,
1 br 1 bath House - 3045 20th Ave W #409, Seattle,WA,98199,3045 20th Ave W,$1650,2020-05-10,
1600 Dexter Ave N,Seattle,WA,98109,1600 Dexter Ave N,$3795,2020-05-10,
3 br 2.5 bath House - 7547 12th Ave SW, Seattle,WA,98106,7547 12th Ave SW,$2700,2020-05-10,
9811 20th Ave SW,Seattle,WA,98106,9811 20th Ave SW,$1400,2020-05-10,
4 br 2.5 bath House - 8055 23rd Ave NW, Seattle,WA,98117,8055 23rd Ave NW,$4100,2020-05-10,
107 Cherry St,Seattle,WA,98104,107 Cherry St,$1132,2020-05-10,
1 br 1 bath Apartment - 1901 N 80th St, Seattle,WA,98103,1901 N 80th St,$950,2020-05-10,
3825 Bridge Way N,Seattle,WA,98103,3825 Bridge Way N,$1625,2020-05-10,
2761-2769 NW 80th St,Seattle,WA,98117,2761-2769 NW 80th St,$2195,2020-05-10,
633 W Emerson St,Seattle,WA,98119,633 W Emerson St,$2100,2020-05-10,
4528 44th Ave SW,Seattle,WA,98116,4528 44th Ave SW,$1187,2020-05-10,
6568 4th Ave NE Unit #16,Seattle,WA,98115,6568 4th Ave NE Unit #16,$1699,2020-05-10,
500 NE 65th St,Seattle,WA,98115,500 NE 65th St,$1495,2020-05-10,
3802 19th Ave SW,Seattle,WA,98106,3802 19th Ave SW,$1845,2020-05-10,
1617 S Lane St,Seattle,WA,98144,1617 S Lane St,$2095,2020-05-10,
4830 Fauntleroy Way SW,Seattle,WA,98116,4830 Fauntleroy Way SW,$1995,2020-05-10,
3023 14th Ave W,Seattle,WA,98119,3023 14th Ave W,$1595,2020-05-10,
2205 2nd Ave,Seattle,WA,98121,2205 2nd Ave,$1350,2020-05-10,
5505 15th Ave NE,Seattle,WA,98105,5505 15th Ave NE,$1395,2020-05-10,
409 Eastlake Ave E,Seattle,WA,98109,409 Eastlake Ave E,$1995,2020-05-10,
4629 21st Ave NE,Seattle,WA,98105,4629 21st Ave NE,$825,2020-05-10,
1052 E Thomas St,Seattle,WA,98102,1052 E Thomas St,$1500,2020-05-10,
9929 14th Ave S,Seattle,WA,98108,9929 14th Ave S,$1500,2020-05-10,
12556 15th Ave NE,Seattle,WA,98125,12556 15th Ave NE,$1275,2020-05-10,
8315 5th Ave NE,Seattle,WA,98115,8315 5th Ave NE,$1795,2020-05-10,
1519 NE 50th St,Seattle,WA,98105,1519 NE 50th St,$1425,2020-05-10,
4724 22nd Ave NE Unit 206,Seattle,WA,98105,4724 22nd Ave NE Unit 206,$1025,2020-05-10,
666 W Olympic Pl,Seattle,WA,98119,666 W Olympic Pl,$2100,2020-05-10,
Simplified Living Unit 706, Seattle,WA,98109,408 Aurora Ave N,$1775,2020-05-10,
Bay Ridge Court - 2 bedrooms Unit C203, Seattle,WA,98104,804 James St,$1695,2020-05-10,
500 Elliot Ave - 1 bedroom Unit 403, Seattle,WA,98119,500 Elliott Ave W,$1900,2020-05-10,
2906 S Estelle St Unit No#1,Seattle,WA,98144,2906 S Estelle St Unit No#1,$1200,2020-05-10,
Urban Sophistication in 2 Bedroom Townhouse, Seattle,WA,98144,1541 23rd Ave S,$2300,2020-05-10,
4120 11th Ave NE Unit 204,Seattle,WA,98105,4120 11th Ave NE Unit 204,$1400,2020-05-10,
2144 Waverly Pl N Unit 6,Seattle,WA,98109,2144 Waverly Pl N Unit 6,$1450,2020-05-10,
3012 21st Ave S,Seattle,WA,98144,3012 21st Ave S,$2200,2020-05-10,
1439 NW 60th St Unit 201,Seattle,WA,98107,1439 NW 60th St Unit 201,$2195,2020-05-10,
5536 Beacon Ave S,Seattle,WA,98108,5536 Beacon Ave S,$1075,2020-05-10,
Hill Top Blue, Seattle,WA,98119,2116 4th Ave W,$6000,2020-05-10,
2 br 2 bath Apartment - 13730 15th Ave NE, Seattle,WA,98125,13730 15th Ave NE,$2595,2020-05-10,
3 br 3 bath House - 3810 33rd Ave SW, Seattle,WA,98126,3810 33rd Ave SW,$4999,2020-05-10,
11817 1st Ave S,Seattle,WA,98168,11817 1st Ave S,$1150,2020-05-10,
1 br 1 bath House - 2222 NE 92nd St #313, Seattle,WA,98115,2222 NE 92nd St,$1600,2020-05-10,
3 br 2 bath House - 9408 31st Ave NW, Seattle,WA,98117,9408 31st Ave NW,$2950,2020-05-10,
8 br 4 bath House - 249 NE 50th St, Seattle,WA,98105,249 NE 50th St,$9995,2020-05-10,
1 br 1 bath House - 66 Bell Street #34, Seattle,WA,98121,66 Bell St,$2050,2020-05-10,
215 2nd Ave S,Seattle,WA,98104,215 2nd Ave S,$1995,2020-05-10,
4417 42nd Ave SW,Seattle,WA,98116,4417 42nd Ave SW,$1450,2020-05-10,
104 Pine St,Seattle,WA,98101,104 Pine St,$1595,2020-05-10,
5 br 2.5 bath House - 11603 8th Ave S, Seattle,WA,98168,11603 8th Ave S,$3150,2020-05-10,
1775-1/2 17th Ave S,Seattle,WA,98144,1775-1/2 17th Ave S,$2100,2020-05-10,
9800 5th Ave NE,Seattle,WA,98115,9800 5th Ave NE,$1695,2020-05-10,
9918 Des Moines Memorial Dr S,Seattle,WA,98108,9918 Des Moines Memorial Dr S,$1300,2020-05-10,
6040 California Ave SW,Seattle,WA,98136,6040 California Ave SW,$2565,2020-05-10,
2572 Gilman Dr W,Seattle,WA,98119,2572 Gilman Dr W,$3225,2020-05-10,
2 br 1 bath House - 9807 32nd Ave SW, Seattle,WA,98126,9807 32nd Ave SW,$2495,2020-05-10,
831 W Nickerson St,Seattle,WA,98119,831 W Nickerson St,$2195,2020-05-10,
11054-11060 4th Ave SW,Seattle,WA,98146,11054-11060 4th Ave SW,$1450,2020-05-10,
3309 W Government Way,Seattle,WA,98199,3309 W Government Way,$2100,2020-05-10,
109 John St,Seattle,WA,98109,109 John St,$1995,2020-05-10,
1314 Spring St,Seattle,WA,98104,1314 Spring St,$1600,2020-05-10,
6100 24th Ave NW,Seattle,WA,98107,6100 24th Ave NW,$1450,2020-05-10,
506 E Union St,Seattle,WA,98122,506 E Union St,$1895,2020-05-10,
108 NW 76th St,Seattle,WA,98117,108 NW 76th St,$2295,2020-05-10,
3104 S Day St,Seattle,WA,98144,3104 S Day St,$1825,2020-05-10,
4745 16th Ave NE,Seattle,WA,98105,4745 16th Ave NE,$2095,2020-05-10,
7000 Roosevelt Way NE Unit #301,Seattle,WA,98115,7000 Roosevelt Way NE Unit #301,$1849,2020-05-10,
500 NE 70th St Unit #204,Seattle,WA,98115,500 NE 70th St Unit #204,$1549,2020-05-10,
212-214 10th Ave,Seattle,WA,98122,212-214 10th Ave,$1810,2020-05-10,
320 Cedar St,Seattle,WA,98121,320 Cedar St,$1250,2020-05-10,
6401 20th Ave NW,Seattle,WA,98117,6401 20th Ave NW,$1995,2020-05-10,
6512 Martin Luther King Jr Way S,Seattle,WA,98118,6512 Martin Luther King Jr Way S,$1695,2020-05-10,
319 N 105th St,Seattle,WA,98133,319 N 105th St,$1510,2020-05-10,
9556 Sand Point Way NE,Seattle,WA,98115,9556 Sand Point Way NE,$1795,2020-05-10,
2400 E Boston St,Seattle,WA,98112,2400 E Boston St,$1875,2020-05-10,
1510 13th Ave S,Seattle,WA,98144,1510 13th Ave S,$1495,2020-05-10,
1821 17th Ave,Seattle,WA,98122,1821 17th Ave,$1595,2020-05-10,
10765 14th Ave SW Unit I-03,Seattle,WA,98146,10765 14th Ave SW Unit I-03,$1550,2020-05-10,
Sweet Arbor Heights Cape Cod Nest with VIEWS, Seattle,WA,98146,10214 44th Ave SW,$3675,2020-05-10,
3 br 2.5 bath House - 10049 17th Ave SW, Seattle,WA,98146,10049 17th Ave SW,$2595,2020-05-10,
505 Boylston Ave E,Seattle,WA,98102,505 Boylston Ave E,$1330,2020-05-10,
321 10th Ave S Unit #704,Seattle,WA,98104,321 10th Ave S Unit #704,$2290,2020-05-10,
4 br 1 bath House - 6746 18th Ave NW -, Seattle,WA,98117,6746 18th Ave NW,$3000,2020-05-10,
1 br 1 bath House - 750 N 143rd St #302, Seattle,WA,98133,750 N 143rd St,$1500,2020-05-10,
3 br 1.5 bath 4plex - 1527 18th Ave Unit 2 - Unit 2, Seattle,WA,98122,1527 18th Ave,$3395,2020-05-10,
1526 44th Ave SW,Seattle,WA,98116,1526 44th Ave SW,$1895,2020-05-10,
2025 NW 59th St Unit 1,Seattle,WA,98107,2025 NW 59th St Unit 1,$1195,2020-05-10,
5408 Meridian Ave N Unit #302,Seattle,WA,98103,5408 Meridian Ave N Unit #302,$1499,2020-05-10,
Alki Apartments, Seattle,WA,98116,2348 Alki Ave SW,$1395 - 1795,2020-05-10,
