Name, City, State, Zip, Address, Price, Date,
Alcyone, Seattle,WA,98109,301 Minor Ave N,$2017 - 2585,2020-05-10,
Square One, Seattle,WA,98115,1020 NE 63rd St,$1580 - 2454,2020-05-10,
Packard Building, Seattle,WA,98122,1530 12th Ave,$1975 - 2204,2020-05-10,
The Blake Apartments, Seattle,WA,98136,5020 California Ave SW,$1225 - 2675,2020-05-10,
Rollin Street, Seattle,WA,98109,120 Westlake Ave,$2597 - 6255,2020-05-10,
TraVigne on 11th, Seattle,WA,98105,4726 11th Ave NE,$1646 - 2555,2020-05-10,
Vox, Seattle,WA,98122,1527 15th Ave,$2228 - 3062,2020-05-10,
Anthem on 12th, Seattle,WA,98122,103 12th Ave,$1572 - 3300,2020-05-10,
Marq West Seattle, Seattle,WA,98126,3261 SW Avalon Way,$1513 - 3045,2020-05-10,
Marq 211, Seattle,WA,98121,211 Lenora St,$1746 - 3275,2020-05-10,
Orion, Seattle,WA,98109,910 John St,$1118 - 3720,2020-05-10,
Muse, Seattle,WA,98122,1515 Bellevue Ave,$1505 - 1890,2020-05-10,
Cypress, Seattle,WA,98122,120 Broadway,$1950 - 2815,2020-05-10,
THAI BINH APARTMENTS, Seattle,WA,98104,913 S Jackson St,Call for Rent,2020-05-10,
Upton Flats, Seattle,WA,98126,3490 SW Graham St,$1620 - 2530,2020-05-10,
Keelson Ballard, Seattle,WA,98107,1537 NW 56TH St,$1665 - 3250,2020-05-10,
Helix Ellipse, Seattle,WA,98105,4751 12th Ave NE,$1473 - 2483,2020-05-10,
Guinevere, Seattle,WA,98103,522 N 85th St,$1550 - 3018,2020-05-10,
King Arthurs Court, Seattle,WA,98125,12728 NE 28th Ave,$1424 - 2815,2020-05-10,
4730 California, Seattle,WA,98116,4730 California Ave SW,$1692 - 5548,2020-05-10,
Brookstone Apartments, Seattle,WA,98198,3231 S 204th St,$1399 - 2035,2020-05-10,
Verse Seattle, Seattle,WA,98144,402 22nd Ave S,$1750 - 2570,2020-05-10,
100 on 6th, Seattle,WA,98104,100 6th Ave S,$995 - 1540,2020-05-10,
Pratt Park Apartments, Seattle,WA,98144,1800 S Jackson St,$1403 - 4070,2020-05-10,
Angeline Apartments, Seattle,WA,98118,4801 Rainier Ave S,$1628 - 4245,2020-05-10,
Ivy Ridge, Seattle,WA,98105,4730 21st Ave NE,$1025 - 2673,2020-05-10,
Hillview, Seattle,WA,98178,12825 60th Ln S,$1300 - 1600,2020-05-10,
Iron Flats, Seattle,WA,98115,828 NE 66th St,$1499 - 3295,2020-05-10,
Lucille on Roosevelt, Seattle,WA,98115,6717 Roosevelt Way NE,$1849 - 2099,2020-05-10,
Willow Court Apartments, Seattle,WA,98106,6901 Delridge Way SW,$1375 - 1750,2020-05-10,
MOD Apartments, Seattle,WA,98115,6559 35th Ave NE,$1531 - 1702,2020-05-10,
Medora, Seattle,WA,98115,6810 Roosevelt Way NE,$1800,2020-05-10,
Avanti, Seattle,WA,98101,1401 Boren Ave,$1561 - 3220,2020-05-10,
The Redwood Apartments, Seattle,WA,98112,111 21st Ave E,$1050 - 1475,2020-05-10,
Holgate 12 Apartments, Seattle,WA,98144,1814 12th Ave S,$2600,2020-05-10,
Andante Seattle, Seattle,WA,98125,3031 NE 137th St,$1380 - 2045,2020-05-10,
Executive Estates, Seattle,WA,98125,1227 NE 143rd St,$1195 - 1825,2020-05-10,
SONATA At Columbia Station, Seattle,WA,98108,3000-3004 S Alaska St,$1499 - 2245,2020-05-10,
Nine & Pine, Seattle,WA,98101,1601 9th Ave,$2025 - 3450,2020-05-10,
M Street, Seattle,WA,98104,910 8th Ave,$1685 - 3690,2020-05-10,
Maple Leaf Plaza, Seattle,WA,98115,2021 NE 90th St,$1395,2020-05-10,
Gilbert Apartments, Seattle,WA,98109,1529 Queen Anne Ave N,$1795 - 3500,2020-05-10,
Avalon Micro Studios, Seattle,WA,98126,3268 SW Avalon Way,$895 - 925,2020-05-10,
Quintessa Apartments, Seattle,WA,98104,201 Yesler Way,$1309,2020-05-10,
Sheridan Beach Terrace, Lake Forest Park,WA,98155,15530 Bothell Way NE,$1350 - 2400,2020-05-10,
Junction 160, Shoreline,WA,98133,16100 Linden Ave N,$1750 - 1900,2020-05-10,
Green Lake Village, Seattle,WA,98115,427 NE 72nd St,$1920 - 3115,2020-05-10,
Viktoria, Seattle,WA,98101,1915 2nd Ave,$1715 - 5785,2020-05-10,
Hayes On Stone Way, Seattle,WA,98103,3627 Stone Way N,$1865 - 4425,2020-05-10,
Sunset Electric, Seattle,WA,98122,1111 E Pine St,$1740 - 4230,2020-05-10,
REO Flats, Seattle,WA,98122,1525 14th Ave,$905 - 3050,2020-05-10,
Ballard Lofts, Seattle,WA,98107,6450 24th Ave NW,$2054 - 10000,2020-05-10,
Cambridge Park Villa, Seattle,WA,98178,6801 S 133rd St,$1250 - 2000,2020-05-10,
